property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_to_room_ratio
flat,signature global solera,sector 107,0.4,6645.0,2,2,1,7.0,Relatively New,577.0,0,0,0,0,0,1,55,301.0
flat,hsiidc sidco aravali,manesar,0.9,3648.0,4,4,3,7.0,Moderately Old,2233.0,0,0,0,0,0,0,0,616.75
flat,residency grand,sector 52,5.0,7692.0,5,7,3+,1.0,Moderately Old,5778.0,0,1,0,1,0,0,77,1300.0
flat,whiteland blissville,sector 76,1.9,11364.0,3,3,2,0.0,Under Construction,1513.0,0,0,0,0,0,0,61,557.3333333333334
flat,spaze privy at,sector 84,1.24,6465.0,3,3,3,8.0,Relatively New,1650.0,1,0,0,0,0,1,158,639.3333333333334
flat,central park flower valley,sector 33,1.4,21538.0,3,3,3,2.0,Under Construction,588.0,0,0,0,0,0,0,54,216.66666666666666
flat,rof ananda,sector 95,0.46,6319.0,2,2,2,11.0,New Property,809.0,1,0,0,0,0,0,82,364.0
flat,suncity vatsal valley,gwal pahari,1.38,12212.0,2,2,2,4.0,Under Construction,1130.0,0,0,0,0,0,1,133,565.0
flat,conscient heritage max,sector 102,1.82,9372.0,3,4,3+,15.0,Moderately Old,1757.0,0,1,0,0,0,0,125,647.3333333333334
flat,tulsiani easy in homes,sohna road,0.4,6723.0,2,2,3,12.0,New Property,661.0,0,0,0,0,0,0,36,297.5
flat,hsiidc sidco aravali,manesar,0.86,3323.0,3,3,3+,3.0,Moderately Old,1900.0,0,1,0,0,0,0,81,862.6666666666666
flat,shree vardhman victoria,sector 70,1.65,8462.0,3,3,2,6.0,Relatively New,2167.0,1,0,0,0,0,0,72,650.0
flat,conscient elevate,sector 59,3.78,16499.0,3,3,3,3.0,Under Construction,2550.0,0,0,0,0,0,0,31,763.6666666666666
flat,emaar gurgaon greens,sector 102,1.42,8606.0,3,3,3,7.0,Relatively New,1315.0,0,1,0,0,0,0,128,550.0
flat,ats tourmaline,sector 109,1.4,8000.0,3,3,3+,8.0,Relatively New,1466.0,0,0,1,0,0,0,119,583.3333333333334
flat,ramson kshitij sec-95 gurugram,sector 95,0.27,2700.0,2,2,0,1.0,New Property,758.0,0,0,0,0,0,0,0,500.0
flat,pyramid urban homes 2,sector 86,0.42,8485.0,2,2,1,2.0,New Property,557.0,1,1,0,1,1,0,84,247.5
flat,prime habitat,sector 99,0.26,4745.0,2,2,1,6.0,Relatively New,611.0,0,0,0,0,1,0,79,274.0
flat,ramsons kshitij,sector 95,0.4,5839.0,3,2,2,6.0,New Property,761.0,0,0,0,0,0,0,0,228.33333333333334
flat,the lions cghs,sector 56,2.05,9535.0,4,4,3,7.0,Relatively New,2000.0,0,1,0,0,1,1,49,537.5
flat,sare crescent parc,sector 92,0.87,4971.0,4,4,2,2.0,Moderately Old,1584.0,0,0,1,0,0,2,115,437.5
flat,microtek greenburg,sector 86,1.65,8707.0,3,4,3,8.0,Relatively New,1715.0,0,1,0,0,0,0,124,631.6666666666666
house,bhawani enclave,sector 12,0.42,8235.0,3,3,0,2.0,New Property,567.0,0,0,0,1,0,0,0,170.0
flat,emaar mgf emerald floors premier,sector 65,2.75,13924.0,4,4,3,3.0,Relatively New,1975.0,1,1,0,0,0,1,113,493.75
flat,the khushboo cooperative housing society ltd,sector 9,0.88,4889.0,3,3,2,2.0,Old Property,1438.0,0,0,0,0,0,1,31,600.0
flat,tarc maceo,sector 91,1.4,7407.0,3,3,3+,7.0,Relatively New,1700.0,0,0,0,0,0,0,76,630.0
flat,m3m golfestate,sector 65,5.9,17544.0,3,3,3,9.0,Moderately Old,3043.0,1,0,0,0,0,2,21,1121.0
flat,signature global city 81,sector 81,0.82,8641.0,2,2,3,2.0,Relatively New,955.0,0,0,0,0,0,0,53,474.5
flat,bestech park view grand spa,sector 81,3.3,12222.0,4,5,3+,4.0,Relatively New,3070.0,1,1,0,0,0,1,174,675.0
flat,gls avenue 51,sector 92,0.5,7812.0,3,3,1,12.0,New Property,711.0,0,0,0,0,0,2,95,213.33333333333334
flat,tulip purple,sector 69,1.8,9000.0,4,5,3+,4.0,Relatively New,2200.0,0,1,0,0,0,0,165,500.0
flat,ireo the grand arch,sector 58,4.85,16934.0,4,5,3,23.0,Relatively New,3182.0,1,1,0,1,1,1,49,716.0
flat,emaar palm heights,sector 77,1.79,8840.0,3,3,3,1.0,New Property,1600.0,0,1,0,0,0,1,49,675.0
